customer_id,unit_id,name,address,phone,email
1,1,Gustavo Teixeira,"Aeroporto Ribeiro, 79
Flamengo
31265-837 Duarte / MG",+55 41 8514-7035,jnogueira@example.com
2,1,Maria Liz Almeida,"Setor Guerra, 688
Acaiaca
32995470 Duarte / MA",41 4272-4014,ecastro@example.com
3,1,Rafael Mendes,"Lagoa Silveira, 555
Penha
38000-003 Dias / AP",(061) 0885 6420,salesallana@example.net
4,1,Luisa Marques,"Area Gomes
Universo
32660908 Oliveira do Galho / AM",+55 (081) 9046-9817,ana-beatriz48@example.org
5,1,Carolina Campos,"Trevo Sales, 23
Santo Andre
77733501 Sa do Norte / TO",11 2707-8659,luiz-henrique97@example.com
6,1,Hellena Albuquerque,"Campo de Albuquerque, 44
Nossa Senhora Do Rosario
77894814 Martins da Prata / RO",+55 (031) 0287 9366,eloah73@example.com
7,1,Srta. Gabriela Pimenta,"Sitio Cirino, 62
Vila Suzana Segunda Secao
79806-861 Rocha / AM",(031) 6964-9388,fogacamaria-laura@example.com
8,1,Rebeca Albuquerque,"Lagoa de Sampaio, 27
Novo Aarao Reis
04977-864 Souza de Costa / PA",31 3822-7790,stephany14@example.org
9,1,Thiago Viana,"Lagoa Daniela Camara
Novo Gloria
64766-216 Pastor / PI",+55 81 0584-8823,lcamara@example.com
10,1,Joao Gabriel Fogaca,"Lago Ferreira
Penha
42303559 Ribeiro das Pedras / SE",(084) 7377 4837,fda-luz@example.com
11,1,Dra. Nina Fernandes,"Setor de Macedo, 317
Vila Jardim Montanhes
25006-631 Martins de Goias / PE",(051) 0794-1769,samuelteixeira@example.org
12,1,Calebe Cavalcanti,"Ladeira Mirella Sousa, 13
Cachoeirinha
98917310 Porto de Goias / MA",0900-703-0536,ana-beatrizcorreia@example.com
13,1,Benicio Costela,"Rua de Cirino, 672
Vila Piratininga Venda Nova
81472461 Fonseca do Amparo / SC",51 9693 6641,rael24@example.org
14,1,Dr. Levi Melo,"Rua da Rosa, 16
Vila Santa Monica 2a Secao
78788-203 Goncalves / SE",71 2363-3804,cnovais@example.org
15,1,Sophie da Costa,"Trecho de Rocha, 71
Bernadete
83670285 Mendes / CE",0500 467 1053,bryan71@example.org
16,1,Matheus Fernandes,"Viaduto Camara, 9
Vila Da Amizade
63769323 Caldeira / GO",(051) 3820-5409,hfogaca@example.com
17,1,Manuela Cirino,"Loteamento Gabriela Mendes, 63
Vila Sao Dimas
98464577 Vieira / AC",+55 (011) 5826-9316,rebecafonseca@example.com
18,1,Erick Camargo,"Vila de Porto, 39
Vila Maria
20644357 Garcia Verde / MA",(061) 4456 6100,limaeloa@example.net
19,1,Davi Lucca da Costa,"Ladeira de Ferreira, 34
Caetano Furquim
03944-313 Monteiro das Pedras / RN",(031) 9776 8105,marianedas-neves@example.net
20,1,Jade Pimenta,"Largo Maria Julia Ferreira, 69
Santa Branca
70834-326 Farias do Sul / GO",(061) 6951 6350,fogacaana@example.com
21,1,Manuela Cassiano,"Condominio de Oliveira, 687
Rio Branco
79126-583 Moreira / SE",(061) 5591 4572,kcavalcanti@example.com
22,1,Caleb Fernandes,"Campo de Pimenta, 179
Piratininga
17615-116 Rodrigues / RJ",+55 (071) 5081 8681,cardosoluna@example.org
23,1,Murilo Aragao,"Patio Brenda da Rosa, 242
Vila Santo Antonio
92165-760 Santos / RO",+55 61 1735-8741,juan44@example.org
